,Ticker,Shares
1,MON,2362.0593028687717
2,SO,338.08367923857537
3,MO,490.6665880200315
4,PM,219.87233888539217
5,CL,278.161492859506
6,CVS,210.40916550983002
7,PG,142.57992113802277
8,T,1089.2861740960977
9,ABBV,127.2121123804793
10,NEE,237.75298120797856
11,BMY,255.11729699967233
12,PEP,109.0878675659011
13,PFE,413.3056982496883
14,KO,318.2327164525094
15,UNH,37.626086999650376
16,ORCL,235.13543156934452
17,MRK,178.49988361193792
18,COST,35.51236145468787
19,UNP,89.31395325393063
20,LMT,38.9172762478727
21,KMI,999.2267541522718
22,TXN,101.22608280938479
23,UPS,99.0890627412721
24,LLY,49.37071892889323
25,BA,99.17209717416016
